Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-04-01 00:00:00-04:00,207.266821947477,208.61741844638206,206.6510988097776,207.40585327148438,5827400,0.0,0.0,0.0
2024-04-02 00:00:00-04:00,205.10189026752903,205.7076728607936,203.7413683585897,205.4097442626953,5709100,0.0,0.0,0.0
2024-04-03 00:00:00-04:00,204.37693083507688,207.01854102171646,204.32727354596557,205.9559326171875,5335000,0.0,0.0,0.0
2024-04-04 00:00:00-04:00,207.92226208025605,208.6472252514871,202.5893989281095,202.69863891601562,8232400,0.0,0.0,0.0
2024-04-05 00:00:00-04:00,203.5824599533463,206.06517287960665,203.01639413258593,205.02243041992188,6403200,0.0,0.0,0.0
2024-04-08 00:00:00-04:00,205.15155535042817,205.82684605537023,204.0293641547279,204.78411865234375,4062900,0.0,0.0,0.0
2024-04-09 00:00:00-04:00,205.83677573715852,206.2637951039216,203.24482273270655,205.81690979003906,4700400,0.0,0.0,0.0
2024-04-10 00:00:00-04:00,203.47322743378427,204.04921867217445,202.42055953900416,203.2944793701172,6918400,0.0,0.0,0.0
2024-04-11 00:00:00-04:00,204.19816720212646,207.69383123310033,203.21502258483295,207.35618591308594,5281800,0.0,0.0,0.0
2024-04-12 00:00:00-04:00,204.88340270628248,205.84669655087896,203.24481820743722,203.9995574951172,8093100,0.0,0.0,0.0
2024-04-15 00:00:00-04:00,205.25084944244773,205.3799553722645,199.81868713885052,200.1265411376953,8594500,0.0,0.0,0.0
2024-04-16 00:00:00-04:00,200.56349733032005,201.60622468678284,199.5704121121438,200.3648681640625,7457000,0.0,0.0,0.0
2024-04-17 00:00:00-04:00,201.0997611694563,201.4374065143861,197.32603422549727,197.47500610351562,6545200,0.0,0.0,0.0
2024-04-18 00:00:00-04:00,197.41539764350347,197.9218807869382,195.0121333095124,195.22068786621094,7640300,0.0,0.0,0.0
2024-04-19 00:00:00-04:00,194.47588427222036,195.1114582193775,190.71208272863035,191.19869995117188,10938800,0.0,0.0,0.0
2024-04-22 00:00:00-04:00,192.66843817425843,194.0686918265981,190.75179117122255,192.9067840576172,6646700,0.0,0.0,0.0
2024-04-23 00:00:00-04:00,193.71119782979648,196.05487952174832,193.42320978754032,195.7668914794922,6075800,0.0,0.0,0.0
2024-04-24 00:00:00-04:00,197.21680037619066,198.0311375721706,195.57821573997754,196.66067504882812,4580100,0.0,0.0,0.0
2024-04-25 00:00:00-04:00,194.20774027399852,196.60107925494265,193.34376099465857,196.233642578125,5784000,0.0,0.0,0.0
2024-04-26 00:00:00-04:00,197.78284642330726,199.89810753470084,197.00824120167965,198.44821166992188,5052100,0.0,0.0,0.0
2024-04-29 00:00:00-04:00,199.47109928150797,199.76902788023392,198.14036871424707,199.30227661132812,3747400,0.0,0.0,0.0
2024-04-30 00:00:00-04:00,198.61704545163005,199.42144206118468,194.853259107764,194.912841796875,7464500,0.0,0.0,0.0
2024-05-01 00:00:00-04:00,193.87008594936458,197.1274040585741,192.87700079037933,192.91671752929688,10226800,0.0,0.0,0.0
2024-05-02 00:00:00-04:00,195.37959304354183,195.96550969077023,192.9167307698639,195.69737243652344,6670000,0.0,0.0,0.0
2024-05-03 00:00:00-04:00,200.9905167907338,201.82470473758943,200.2754942210639,201.1494140625,6658200,0.0,0.0,0.0
2024-05-06 00:00:00-04:00,201.91410199318216,203.51295471191406,201.6062328343521,203.51295471191406,4010500,0.0,0.0,0.0
2024-05-07 00:00:00-04:00,204.10878706460102,204.20810163964535,202.82771390487807,202.84756469726562,5010400,0.0,0.0,0.0
2024-05-08 00:00:00-04:00,202.12262953814636,203.6420486818421,202.0729722474922,203.42356872558594,3588000,0.0,0.0,0.0
2024-05-09 00:00:00-04:00,203.0958459111889,203.52288042082583,202.35103202177137,203.36398315429688,4794800,0.0,0.0,0.0
2024-05-10 00:00:00-04:00,204.4265977834215,205.3402343637862,203.47322930857956,204.1187286376953,4376900,0.0,0.0,0.0
2024-05-13 00:00:00-04:00,205.61830577535363,205.78712845088245,204.43653189337343,205.08203125,3291000,0.0,0.0,0.0
2024-05-14 00:00:00-04:00,205.0125124550874,207.18737148185429,204.89334707935586,206.8993682861328,4912600,0.0,0.0,0.0
2024-05-15 00:00:00-04:00,208.2003128669363,211.6264690406079,208.0513561434193,211.55694580078125,7154300,0.0,0.0,0.0
2024-05-16 00:00:00-04:00,211.6860617579037,212.3415016789838,210.7326932223982,210.8220672607422,6033300,0.0,0.0,0.0
2024-05-17 00:00:00-04:00,211.30865414859935,211.4377600654029,209.20331850810456,210.3553009033203,3808000,0.0,0.0,0.0
2024-05-20 00:00:00-04:00,210.56384626036515,213.22532238148148,210.37515765454668,212.8280792236328,3138400,0.0,0.0,0.0
2024-05-21 00:00:00-04:00,212.01376656322424,213.52324516939538,211.6363893350426,213.17567443847656,3070200,0.0,0.0,0.0
2024-05-22 00:00:00-04:00,213.78144967168186,214.436874370098,212.39112133597388,213.65234375,5891500,0.0,0.0,0.0
2024-05-23 00:00:00-04:00,216.09533920581916,216.11518999887363,211.239153327223,211.91444396972656,4700200,0.0,0.0,0.0
2024-05-24 00:00:00-04:00,212.4506988625322,214.15880653276704,211.74561689187848,213.70199584960938,2952600,0.0,0.0,0.0
2024-05-28 00:00:00-04:00,214.91359743244072,215.08242011820718,213.2650721667974,214.60574340820312,4393200,0.0,0.0,0.0
2024-05-29 00:00:00-04:00,212.34148221787072,214.26805475425633,212.34148221787072,213.24517822265625,4284500,0.0,0.0,0.0
2024-05-30 00:00:00-04:00,210.8717125504664,211.18950709530253,207.7335596099606,208.3790740966797,5229900,0.0,0.0,0.0
2024-05-31 00:00:00-04:00,208.99477514695315,209.03450704037752,204.10879783189986,208.706787109375,6040500,0.0,0.0,0.0
2024-06-03 00:00:00-04:00,210.30565761659548,210.49434622963102,206.73054482560013,209.23312377929688,4814000,0.0,0.0,0.0
2024-06-04 00:00:00-04:00,209.12388981383964,210.00773506351604,208.0513559457023,209.6700897216797,3202700,0.0,0.0,0.0
2024-06-05 00:00:00-04:00,211.32854552011057,214.32766723632812,210.99090016983718,214.32766723632812,4394400,0.0,0.0,0.0
2024-06-06 00:00:00-04:00,214.4468283425311,214.59578506665886,213.04657452261762,213.61264038085938,3528800,0.0,0.0,0.0
2024-06-07 00:00:00-04:00,213.841039387003,215.02281320755515,213.0564935878382,214.1091766357422,3199300,0.0,0.0,0.0
2024-06-10 00:00:00-04:00,213.38421711646384,215.23135623823632,213.24518579131015,214.65536499023438,3367700,0.0,0.0,0.0
2024-06-11 00:00:00-04:00,214.1091762422397,218.70715043679428,214.00986166043654,218.64756774902344,6359600,0.0,0.0,0.0
2024-06-12 00:00:00-04:00,220.82242565658296,225.73819436544775,220.41525708783607,223.48388671875,8910600,0.0,0.0,0.0
2024-06-13 00:00:00-04:00,225.55944089412571,226.18507425083322,223.88112452201108,225.2515869140625,6346800,0.0,0.0,0.0
2024-06-14 00:00:00-04:00,224.93381045282354,226.22482431610027,224.78485372575554,226.09571838378906,3932300,0.0,0.0,0.0
2024-06-17 00:00:00-04:00,226.65183491391394,230.32624718747024,225.8772296566396,229.5218505859375,5801300,0.0,0.0,0.0
2024-06-18 00:00:00-04:00,229.75027753930445,230.5645995606672,228.8962236222977,229.8098602294922,4338900,0.0,0.0,0.0
2024-06-20 00:00:00-04:00,230.84264310787927,230.9816744245677,226.46313390227826,227.22781372070312,6621500,0.0,0.0,0.0
2024-06-21 00:00:00-04:00,227.2774822386004,228.17125286814493,225.7977798174483,226.83059692382812,6780400,0.0,0.0,0.0
2024-06-24 00:00:00-04:00,224.47284606255528,225.48757422535715,221.20981351929134,221.26950073242188,6874300,0.4,0.0,0.0
2024-06-25 00:00:00-04:00,222.89109072759314,225.44778935210758,221.63759843943328,225.3284149169922,4564500,0.0,0.0,0.0
2024-06-26 00:00:00-04:00,224.9901599142327,226.13420530900095,223.31884205194226,225.0697479248047,4729800,0.0,0.0,0.0
2024-06-27 00:00:00-04:00,224.632025863956,226.2933857701084,224.36341822048786,225.17918395996094,3961800,0.0,0.0,0.0
2024-06-28 00:00:00-04:00,225.96509577449018,229.19828483515968,224.75140512809608,225.05979919433594,6244100,0.0,0.0,0.0
2024-07-01 00:00:00-04:00,225.39804715519105,227.13899507314355,222.12505656871807,226.76095581054688,4640800,0.0,0.0,0.0
