Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-01 00:00:00+05:30,22455.0,22529.94921875,22427.75,22462.0,0,0.0,0.0
2024-04-02 00:00:00+05:30,22458.80078125,22497.599609375,22388.150390625,22453.30078125,289500,0.0,0.0
2024-04-03 00:00:00+05:30,22385.69921875,22521.099609375,22346.5,22434.650390625,309600,0.0,0.0
2024-04-04 00:00:00+05:30,22592.099609375,22619.0,22303.80078125,22514.650390625,401000,0.0,0.0
2024-04-05 00:00:00+05:30,22486.400390625,22537.599609375,22427.599609375,22513.69921875,242200,0.0,0.0
2024-04-08 00:00:00+05:30,22578.349609375,22697.30078125,22550.349609375,22666.30078125,227600,0.0,0.0
2024-04-09 00:00:00+05:30,22765.099609375,22768.400390625,22612.25,22642.75,232400,0.0,0.0
2024-04-10 00:00:00+05:30,22720.25,22775.69921875,22673.69921875,22753.80078125,276800,0.0,0.0
2024-04-12 00:00:00+05:30,22677.400390625,22726.44921875,22503.75,22519.400390625,357200,0.0,0.0
2024-04-15 00:00:00+05:30,22339.05078125,22427.44921875,22259.55078125,22272.5,355500,0.0,0.0
2024-04-16 00:00:00+05:30,22125.30078125,22213.75,22079.44921875,22147.900390625,317300,0.0,0.0
2024-04-18 00:00:00+05:30,22212.349609375,22326.5,21961.69921875,21995.849609375,456900,0.0,0.0
2024-04-19 00:00:00+05:30,21861.5,22179.55078125,21777.650390625,22147.0,362500,0.0,0.0
2024-04-22 00:00:00+05:30,22336.900390625,22375.650390625,22198.150390625,22336.400390625,279300,0.0,0.0
2024-04-23 00:00:00+05:30,22447.05078125,22447.55078125,22349.44921875,22368.0,231500,0.0,0.0
2024-04-24 00:00:00+05:30,22421.55078125,22476.44921875,22384.0,22402.400390625,235900,0.0,0.0
2024-04-25 00:00:00+05:30,22316.900390625,22625.94921875,22305.25,22570.349609375,475000,0.0,0.0
2024-04-26 00:00:00+05:30,22620.400390625,22620.400390625,22385.55078125,22419.94921875,329900,0.0,0.0
2024-04-29 00:00:00+05:30,22475.55078125,22655.80078125,22441.900390625,22643.400390625,292000,0.0,0.0
2024-04-30 00:00:00+05:30,22679.650390625,22783.349609375,22568.400390625,22604.849609375,361900,0.0,0.0
2024-05-02 00:00:00+05:30,22567.849609375,22710.5,22567.849609375,22648.19921875,445900,0.0,0.0
2024-05-03 00:00:00+05:30,22766.349609375,22794.69921875,22348.05078125,22475.849609375,438100,0.0,0.0
2024-05-06 00:00:00+05:30,22561.599609375,22588.80078125,22409.44921875,22442.69921875,320300,0.0,0.0
2024-05-07 00:00:00+05:30,22489.75,22499.05078125,22232.05078125,22302.5,297800,0.0,0.0
2024-05-08 00:00:00+05:30,22231.19921875,22368.650390625,22185.19921875,22302.5,277400,0.0,0.0
2024-05-09 00:00:00+05:30,22224.80078125,22307.75,21932.400390625,21957.5,331300,0.0,0.0
2024-05-10 00:00:00+05:30,21990.94921875,22131.30078125,21950.30078125,22055.19921875,265800,0.0,0.0
2024-05-13 00:00:00+05:30,22027.94921875,22131.650390625,21821.05078125,22104.05078125,278200,0.0,0.0
2024-05-14 00:00:00+05:30,22112.900390625,22270.05078125,22081.25,22217.849609375,230200,0.0,0.0
2024-05-15 00:00:00+05:30,22255.599609375,22297.55078125,22151.75,22200.55078125,231900,0.0,0.0
2024-05-16 00:00:00+05:30,22319.19921875,22432.25,22054.55078125,22403.849609375,368900,0.0,0.0
2024-05-17 00:00:00+05:30,22415.25,22502.150390625,22345.650390625,22466.099609375,242700,0.0,0.0
2024-05-21 00:00:00+05:30,22404.55078125,22591.099609375,22404.55078125,22529.05078125,347600,0.0,0.0
2024-05-22 00:00:00+05:30,22576.599609375,22629.5,22483.150390625,22597.80078125,290300,0.0,0.0
2024-05-23 00:00:00+05:30,22614.099609375,22993.599609375,22577.44921875,22967.650390625,369800,0.0,0.0
2024-05-24 00:00:00+05:30,22930.75,23026.400390625,22908.0,22957.099609375,261900,0.0,0.0
2024-05-27 00:00:00+05:30,23038.94921875,23110.80078125,22871.19921875,22932.44921875,260000,0.0,0.0
2024-05-28 00:00:00+05:30,22977.150390625,22998.55078125,22858.5,22888.150390625,217900,0.0,0.0
2024-05-29 00:00:00+05:30,22762.75,22825.5,22685.44921875,22704.69921875,269900,0.0,0.0
